Year,Month,Total Rainfall (mm),Date,Month Type,Year Type,Class
1981,7,70.63333333,1/07/1981,Wet,Dry,1981_Wet
1981,8,59.2,1/08/1981,Wet,Dry,1981_Wet
1981,9,14.7,1/09/1981,Dry,Dry,1981_Dry
1981,10,11.8,1/10/1981,Dry,Dry,1981_Dry
1981,11,9.766666667,1/11/1981,Dry,Dry,1981_Dry
1981,12,9.533333333,1/12/1981,Dry,Dry,1981_Dry
1982,1,35.36666667,1/01/1982,Dry,Dry,1981_Dry
1982,2,10.26666667,1/02/1982,Dry,Dry,1981_Dry
1982,3,11.4,1/03/1982,Dry,Dry,1981_Dry
1982,4,8.733333333,1/04/1982,Dry,Dry,1981_Dry
1982,5,19.43333333,1/05/1982,Dry,Dry,1981_Dry
1982,6,102.4333333,1/06/1982,Wet,Dry,1982_Wet
1982,7,37.06666667,1/07/1982,Dry,Dry,1982_Wet
1982,8,32.2,1/08/1982,Dry,Dry,1982_Wet
1982,9,64.66666667,1/09/1982,Wet,Dry,1982_Wet
1982,10,15.6,1/10/1982,Dry,Dry,1982_Dry
1982,11,1,1/11/1982,Dry,Dry,1982_Dry
1982,12,13,1/12/1982,Dry,Dry,1982_Dry
1983,1,1.133333333,1/01/1983,Dry,Dry,1982_Dry
1983,2,0.833333333,1/02/1983,Dry,Dry,1982_Dry
1983,3,3,1/03/1983,Dry,Dry,1982_Dry
1983,4,4.866666667,1/04/1983,Dry,Dry,1982_Dry
1983,5,16.86666667,1/05/1983,Dry,Dry,1982_Dry
1983,6,112.8,1/06/1983,Wet,Dry,1983_Wet
1983,7,89.13333333,1/07/1983,Wet,Dry,1983_Wet
1983,8,70.7,1/08/1983,Wet,Dry,1983_Wet
1983,9,45.43333333,1/09/1983,Wet,Dry,1983_Wet
1983,10,1.666666667,1/10/1983,Dry,Dry,1983_Dry
1983,11,58.66666667,1/11/1983,Wet,Dry,1983_Dry
1983,12,43.23333333,1/12/1983,Wet,Dry,1983_Dry
1984,1,0.966666667,1/01/1984,Dry,Dry,1983_Dry
1984,2,24.83333333,1/02/1984,Dry,Dry,1983_Dry
1984,3,54.43333333,1/03/1984,Wet,Dry,1984_Wet
1984,4,79.73333333,1/04/1984,Wet,Dry,1984_Wet
1984,5,125.0666667,1/05/1984,Wet,Dry,1984_Wet
1984,6,18.83333333,1/06/1984,Dry,Dry,1984_Wet
1984,7,41.9,1/07/1984,Wet,Dry,1984_Wet
1984,8,39.23333333,1/08/1984,Dry,Dry,1984_Dry
1984,9,38,1/09/1984,Dry,Dry,1984_Dry
1984,10,20.13333333,1/10/1984,Dry,Dry,1984_Dry
1984,11,27.3,1/11/1984,Dry,Dry,1984_Dry
1984,12,0.666666667,1/12/1984,Dry,Dry,1984_Dry
1985,1,0,1/01/1985,Dry,Dry,1984_Dry
1985,2,27.23333333,1/02/1985,Dry,Dry,1984_Dry
1985,3,14.53333333,1/03/1985,Dry,Dry,1984_Dry
1985,4,2.133333333,1/04/1985,Dry,Dry,1984_Dry
1985,5,19.83333333,1/05/1985,Dry,Dry,1984_Dry
1985,6,37.03333333,1/06/1985,Dry,Dry,1984_Dry
